-0.5      0.285	   0.3      1      0      0       1
-0.5      0.235	   0.3      1      0      0       1
0.5      0.235	   0.3      1      0      0       1
-0.5      0.285	   0.3      1      0      0       1
0.5      0.235	   0.3      1      0      0       1
0.5      0.285	   0.3      1      0      0       1
0.5      0.285	   0.3      1      0      0       1
0.5      0.235	   0.3      1      0      0       1
0.5      0.235	   -0.3      1      0      0       1
0.5      0.285	   0.3      1      0      0       1
0.5      0.235	   -0.3      1      0      0       1
0.5      0.285	   -0.3      1      0      0       1
0.5      0.235	   0.3      1      0      0       1
-0.5      0.235	   0.3      1      0      0       1
-0.5      0.235	   -0.3      1      0      0       1
0.5      0.235	   0.3      1      0      0       1
-0.5      0.235	   -0.3      1      0      0       1
0.5      0.235	   -0.3      1      0      0       1
0.5      0.285	   -0.3      1      0      0       1
-0.5      0.285	   -0.3      1      0      0       1
-0.5      0.285	   0.3      1      0      0       1
0.5      0.285	   -0.3      1      0      0       1
-0.5      0.285	   0.3      1      0      0       1
0.5      0.285	   0.3      1      0      0       1
-0.5      0.235	   -0.3      1      0      0       1
-0.5      0.285	   -0.3      1      0      0       1
0.5      0.285	   -0.3      1      0      0       1
-0.5      0.235	   -0.3      1      0      0       1
0.5      0.285	   -0.3      1      0      0       1
0.5      0.235	   -0.3      1      0      0       1
-0.5      0.285	   -0.3      1      0      0       1
-0.5      0.235	   -0.3      1      0      0       1
-0.5      0.235	   0.3      1      0      0       1
-0.5      0.285	   -0.3      1      0      0       1
-0.5      0.235	   0.3      1      0      0       1
-0.5      0.285	   0.3      1      0      0       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.225      0.8      0.8      0.8       1
0.425      -0.365	   0.225      0.8      0.8      0.8       1
0.375      0.235	   0.225      0.8      0.8      0.8       1
0.425      -0.365	   0.225      0.8      0.8      0.8       1
0.425      0.235	   0.225      0.8      0.8      0.8       1
0.425      0.235	   0.225      0.8      0.8      0.8       1
0.425      -0.365	   0.225      0.8      0.8      0.8       1
0.425      -0.365	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.225      0.8      0.8      0.8       1
0.425      -0.365	   0.175      0.8      0.8      0.8       1
0.425      0.235	   0.175      0.8      0.8      0.8       1
0.425      -0.365	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.225      0.8      0.8      0.8       1
0.375      -0.365	   0.175      0.8      0.8      0.8       1
